Unnamed: 0,Initial dates,End dates,Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days
431,2023-08-26,2023-11-26,39.53258045744825,-111.2855935341923,0.001221,0.2460386666666667,29.67781866666667,2023,8,92
432,2019-01-03,2019-04-03,37.23067685290745,118.1338643489232,1.064073,1.213762,30.50368966666666,2019,1,90
433,2019-01-24,2019-04-24,-2.034511941841615,31.25402075666844,4.846454,37.643564,49.25178,2019,1,90
434,2019-08-04,2019-11-04,39.49005723293907,118.1572955028202,1.894802125,24.819480125,34.38673775,2019,8,92
435,2022-01-03,2022-04-03,19.04639508578577,-96.28139309824932,1.0673812,19.6087064,52.5448124,2022,1,90
436,2020-03-06,2020-06-06,20.63320823883811,105.4509804000782,1.573704,2.482481,67.561364,2020,3,92
437,2020-03-06,2020-06-06,12.77180181097822,-87.29103621958461,0.77442,36.75754766666666,21.470857,2020,3,92
438,2023-07-16,2023-10-16,17.01137270231985,79.49385206201242,2.2700305,3.0369935,67.3101275,2023,7,92
439,2022-07-02,2022-10-02,-15.87471717869449,-52.21407909650669,0.2375288181818182,0.1856455454545454,34.97695154545454,2022,7,92
440,2023-06-25,2023-09-25,-9.827609323687206,-69.29370785031279,2.2229085,0.0636856666666666,96.12982783333337,2023,6,92
441,2021-08-18,2021-11-18,32.76041430504628,-110.1679441114464,1.384432666666666,0.0997043333333333,39.845732,2021,8,92
442,2022-01-22,2022-04-22,9.107824031172,76.56964344766953,3.2097815,39.09532849999999,51.6840695,2022,1,90
443,2022-02-05,2022-05-05,-31.94304347920258,-56.98297381654834,0.9819884285714284,0.2713056785714286,91.68685675000005,2022,2,89
444,2019-05-28,2019-08-28,37.50134454468312,14.51950600871092,0.7649762222222223,5.342065000000001,25.61790922222222,2019,5,92
445,2019-04-20,2019-07-20,35.91880201114743,61.57496564621266,0.652473,0.065813,21.764901,2019,4,91
446,2022-02-14,2022-05-14,-8.399430232736744,-47.90360811552054,1.821844,0.549415,90.631187,2022,2,89
447,2021-05-02,2021-08-02,12.44970482292094,23.23482620344487,0.048975,0.000282,30.836901,2021,5,92
448,2023-02-19,2023-05-19,-14.44720444656443,-73.42717639742308,0.093185,0.245669,65.511078,2023,2,89
449,2019-09-12,2019-12-12,-15.76993156602736,36.33447722372966,0.7184496,0.2862339,33.73774179999999,2019,9,91
450,2021-02-28,2021-05-28,-14.32963373365158,29.31792339394849,0.8533284999999999,0.586629,80.6098045,2021,2,89
451,2023-06-19,2023-09-19,-13.59100939210435,-59.93991992170322,0.7426727083333334,0.002935,89.98864266666664,2023,6,92
452,2021-07-06,2021-10-06,-30.65195967166598,-56.33064033480689,0.6790499333333333,1.423953066666667,80.82793473333335,2021,7,92
453,2019-07-08,2019-10-08,39.13874488577969,-123.520803541949,0.751667,32.42115041666667,54.28175933333333,2019,7,92
454,2020-05-17,2020-08-17,-4.41179845249323,-63.69563804538723,0.4221043333333334,13.974903,84.32606866666667,2020,5,92
455,2023-02-04,2023-05-04,18.62958784258549,81.25371324090167,1.037261571428571,0.220016,38.86567128571428,2023,2,89
456,2020-05-07,2020-08-07,8.601617495439612,27.15781403554666,2.934693,0.0075514999999999,45.462772,2020,5,92
457,2020-04-25,2020-07-25,-19.92790089724267,-50.64361659661913,0.6491034999999999,5.957704000000001,51.22356425,2020,4,91
458,2019-04-01,2019-07-01,10.59500270677575,-71.13149315997406,0.960607,31.02518,25.993049,2019,4,91
459,2019-08-14,2019-11-14,-9.199881012016398,39.61852576495437,1.143352666666667,32.613898,34.155205,2019,8,92
460,2020-03-14,2020-06-14,-19.15501859004605,140.3747548240695,0.10537,0.00574,28.965196,2020,3,92
461,2021-04-23,2021-07-23,-17.31525546100296,138.6608905115713,0.9459735,0.1642580625,31.9967333125,2021,4,91
462,2023-08-01,2023-11-01,-23.79284710558384,148.8474934701695,1.249352,0.805619,20.63965933333333,2023,8,92
463,2019-05-12,2019-08-12,-31.92742312405823,-61.79790095027947,0.4535741,3.2088376,39.4835698,2019,5,92
464,2023-03-07,2023-06-07,38.51725747613236,29.04437232838182,1.357958,0.311532,46.203789,2023,3,92
465,2019-06-24,2019-09-24,28.85158247706596,-109.0024615917351,2.22393325,0.453663,85.64333775,2019,6,92
466,2023-05-25,2023-08-25,-11.89351959772942,-62.43564891665052,0.4350397777777777,0.0796156666666666,89.68505922222222,2023,5,92
467,2021-04-20,2021-07-20,-19.43604051036077,-63.18864465698417,0.995491,0.057487,80.480331,2021,4,91
468,2021-08-21,2021-11-21,32.84661739703654,-109.0721547213893,1.575731,0.01245225,34.336993,2021,8,92
469,2020-06-27,2020-09-27,-3.443159120216713,-54.87128988235207,2.003248,1.707252857142857,90.81605485714284,2020,6,92
470,2022-03-05,2022-06-05,-10.89400656138594,-60.56587551576312,0.1313945,0.1840405,99.273753,2022,3,92
471,2020-03-17,2020-06-17,38.47037845572501,65.85330939456196,1.2881725,0.51747875,41.594644625,2020,3,92
472,2019-08-27,2019-11-27,-14.01774279654987,-50.70642982443812,0.8679303333333332,0.5443348333333332,35.91005216666667,2019,8,92
